query	positive	negative
9' incandescent rope light	Westek 6 ft. Incandescent White Rope Light Kit$AmerTac Incandescent Rope Lights feature flexible, heavy duty, UV inhibiting PVC tubing that resists yellowing and cracking. Simple to connect additional kits for up to 200 ft. of continuous light - just remove main rope light end cap, remove power cord from 2nd kit and screw the two together. Perfect for inside homes to line steps, bottom or top of cabinets, valances, sliding doors, windows or entertainment center. Commonly used outdoors to outline decks, patios, pathways, stairs or for the holidays.California residents: see&nbsp;Proposition 65 informationInterior or exteriorEasy installationFlexible heavy duty PVC tubingIncludes 6 ft. rope light, power cord and mounting hardwareHome Depot Protection Plan:$Incandescent#Interior or exterior#Easy installation#Flexible heavy duty PVC tubing#Includes 6 ft. rope light, power cord and mounting hardware#1-UL Listed#White#No#Yes#Incandescent#0#Westek#1#1#1#6#0.92#72	Glow Lighting Veranda 9-Light Silver Pearl Incandescent Chandelier$Striking crystals cascade over a silver pearl finish on the Veranda 9-Light Silver Pearl Incandescent Chandelier from Glow Lighting, creating a lavish touch of luxury. The clear crystals reflect incandescent light to display dazzling colors while warming the ambiance of any home. Perfect for entryways and dining rooms, the fixture offers an adjustable hanging length for custom placement.Silver pearl finish offers a bright, gleaming lookAdjustable hanging length for versatile placement optionsEasy installation instructions, hardware and template enclosed for convenient setupUses nine candelabra base incandescent bulbs (sold separately)Clear crystals are designed to reflect incandescent light for a sparkling glowUL listedCoordinates with other fixtures in the Veranda collection for a complete lighting theme throughout your homeFixture is made to order; please allow 30 days for processingHome Depot Protection Plan:$Yes#No#Incandescent,No Bulbs Included#Silver pearl finish offers a bright, gleaming look#Adjustable hanging length for versatile placement options#Easy installation instructions, hardware and template enclosed for convenient setup#Uses nine candelabra base incandescent bulbs (sold separately)#Clear crystals are designed to reflect incandescent light for a sparkling glow#UL listed#Coordinates with other fixtures in the Veranda collection for a complete lighting theme throughout your home#Fixture is made to order; please allow 30 days for processing#1-UL Listed#Crystal#Hardwired#No#Silver Pearl#Chrome#Yes#Hardwired#Hardware Included#Ambient#Incandescent#36#0#Glow Lighting#9#1#18.5#27.5#7#18.5#C-7#Clear#18.5#Crystal#60
self leveling floor resurfacing material	Henry 345 1-qt. Pre-Mixed Patch and Level$The Henry 345 1-qt. Premixed Patch and Level compound is designed for smoothing and repairing concrete, wood and masonry surfaces. It can also be used to patch non moving joints in concrete. Ready to use formula, no mixing required.Dries in 2-3 hoursFor indoor or outdoor useCovers up to 5 sq. ft.White$Dries in 2-3 hours#For indoor or outdoor use#Covers up to 5 sq. ft.#White#Whites#Commercial / Residential#1#Patching/Repair#Indoor/Outdoor#5#Henry#3.52#5	Custom Building Products FlexBond Gray 50 lb. Fortified Thin-Set Mortar$This Custom Building Products FlexBond 50 lb. Fortified Thin-Set Mortar is a premium-quality, polymer-modified mortar with exceptional flexibility and bond strength. FlexBond is perfect for tiling difficult surfaces, such as plywood, vinyl and laminates and for hard to bond non-porous tile such as porcelain and glass. FlexBond protects against cracking caused by minor in-plane surface movement.California residents: see&nbsp;Proposition 65 informationSuitable substrates include interior and exterior floors, countertops and wallsCan tile directly over cracks up to 1/16 in. without repairsSuitable tile types also include natural stone, brick and thin brickExceeds ANSI A118.4 and A118.11 standards without the need for additivesDries in 24 hoursResists mold and mildewQualifies for a lifetime system warranty$Water#Suitable substrates include interior and exterior floors, countertops and walls#Can tile directly over cracks up to 1/16 in. without repairs#Suitable tile types also include natural stone, brick and thin brick#Exceeds ANSI A118.4 and A118.11 standards without the need for additives#Dries in 24 hours#Resists mold and mildew#Qualifies for a lifetime system warranty#Grays#Commercial / Residential#24#Floor and wall#Ceramic Floor/Wall Tile#Indoor/Outdoor#100#Custom Building Products#Yes#Mortar#50#15
plastic driveway mesh	Easy Gardener 7 ft. x 100 ft. DeerBlock Protective Mesh$Easy Gardener 7 ft. x 100 ft. DeerBlock Protective Mesh is a reusable mesh fence that stops deer and other animals from eating your shrubs, berries and vegetables. Deerblock is a lightweight and flexible netting that will help provide protection for crops, berries and other vegetation. The netting is UV protected top last for years. This netting is easily cut with scissors, needs no maintenance and unlike metal it will not rust.Protects plants and shrubs from hungry deer and other wildlifeMade from durable polypropylene meshCan be set up as fence, plant cover or borderUV treated for long lifeReusableNote: product may vary by store$Protects plants and shrubs from hungry deer and other wildlife#Made from durable polypropylene mesh#Can be set up as fence, plant cover or border#UV treated for long life#Reusable#Note: product may vary by store#Black#Black mesh design#Garden#Deer Fence#Garden Fencing#Plastic#Easy Gardener#1#84#0.025#1200	YARDGARD 28 in. x 50 ft. PVC Rabbit Gard Garden Fence$A welded wire fence specifically designed with graduated spacing to keep out rabbits and other nuisance varmints. The fence is available in a variety of colors to best suit your needs while protecting all gardens and flower beds.Black vinyl coating blends more naturally into surroundingsHorizontal wire spacing gets progressively narrower near the ground where protection is most needed (4 in. - 2 in. - 1 in.)Upper horizontal wire spacing allows hands to pass throughRoll size: 28 in. height x 50 ft. length when unrolled16-Gauge wire, 14 -Gauge after vinyl coating$Black vinyl coating blends more naturally into surroundings#Horizontal wire spacing gets progressively narrower near the ground where protection is most needed (4 in. - 2 in. - 1 in.)#Upper horizontal wire spacing allows hands to pass through#Roll size: 28 in. height x 50 ft. length when unrolled#16-Gauge wire, 14 -Gauge after vinyl coating#Black#Residential#Garden,Security#Welded Fencing#14#Metal#2 in#YARDGARD#1#28#50.0 ft#14.85#600#Garden#1
natural gas fireplace insert	Emberglow Lanier Oak 24 in. Vented Natural Gas Fireplace Logs$Get the look of a mature fire with the Emberglow Lanier Oak 24 in. Vented Gas Log Set. The innovative u-shaped dual burner creates realistic dancing flames on the highly detailed, hand-painted logs. With 60,000 BTU/hr, it will provide warmth for your household. This set includes heavy a duty 5/8 tired grate, ash mix, glowing ember material and gas connection hardware.7 highly detailed hand-painted logs made of refractory cement60,000 BTU/hr. provides warmth for your householdDual u-shaped burner creates realistic dancing flamesVented logs must be used with an open chimney flueUses natural gas to fuel its authentic fireIncludes heavy duty 5/8 tired grate, ash mix, glowing ember material and gas connection hardwareRequires item CVS-303 (safety pilot kit) and item ACC18 (vermiculite) to convert this set to liquid propane$7 highly detailed hand-painted logs made of refractory cement#60,000 BTU/hr. provides warmth for your household#Dual u-shaped burner creates realistic dancing flames#Vented logs must be used with an open chimney flue#Uses natural gas to fuel its authentic fire#Includes heavy duty 5/8 tired grate, ash mix, glowing ember material and gas connection hardware#Requires item CVS-303 (safety pilot kit) and item ACC18 (vermiculite) to convert this set to liquid propane#No Certifications or Listings#No Additional Features#Natural Gas#24#Emberglow#15#15#70#25#Vented	Emberglow Blower Kit for Vent-Free Firebox Models VFBC32, VFBC36 and VFBC42$Circulating Air Blower Accessory for Vent Free Firebox Models VFBC32, VFBC36 and VFBC42. Designed to minimize noise and optimize efficiency. Recommended to be purchased with Firebox prior to Firebox installation.Quiet yet powerful fan will produce 130 cu. ft. of heated air per hourImproves the distribution of warm air throughout the roomInstalls easily with junction box, outlet, and all hardware includedComes complete with electrical wiring harness and on/off switch$Air Blower#Quiet yet powerful fan will produce 130 cu. ft. of heated air per hour#Improves the distribution of warm air throughout the room#Installs easily with junction box, outlet, and all hardware included#Comes complete with electrical wiring harness and on/off switch#Emberglow#4.25#3.5#3.5#13
star leds	Brite Star LED Orange Battery Operated Pumpkin Lights (Set of 10)$Decorate your Halloween with these LED Orange Battery Operated Pumpkin Lights. The string of 10 LED lights is a festive addition to any Halloween theme. Hang them in any window or across any door and watch your guests admire the colorful themed accent.10 orange pumpkins on a black wire add some fun to your decorOrange LED lights help save energyWater and mildew resistant making it suitable for indoor and outdoor3 inch spacing between bats5 ft. in lighted length for any standard openingComes with wall brackets for easy installationOptional accessories available: Winter Cover, Breeze Supports and Wireless Wind SensorBattery operated requiring 3 AA batteries (not included)Measures 1 in. H x 3 in. D x 24 in. WMade with durable materials$Novelty#10 orange pumpkins on a black wire add some fun to your decor#Orange LED lights help save energy#Water and mildew resistant making it suitable for indoor and outdoor#3 inch spacing between bats#5 ft. in lighted length for any standard opening#Comes with wall brackets for easy installation#Optional accessories available: Winter Cover, Breeze Supports and Wireless Wind Sensor#Battery operated requiring 3 AA batteries (not included)#Measures 1 in. H x 3 in. D x 24 in. W#Made with durable materials#1-UL Listed#Lights#Halloween Light#Indoor/Outdoor#Orange#LED#5#Brite Star#20#Battery#12 W	EcoSmart 60W Equivalent Bright White A19 Energy Star + Dimmable LED Light Bulb (4-Pack)$This A19 Lamp estimated Energy Cost is $1.08 per year and can saving energy $140 in life time. The life time is long 25000H. This A19 Lamp is Dimmable as well as Omni-Directional.Brightness: 800 LumensEstimated yearly energy cost: $1.08 (based on 3 hours/day, 11/kWh. cost depends on rates and use)Life: 22.8 years (based on 3 hours/day), long lifetimeLight appearance: 3000K (bright white)Energy used: 9-Watt (equivalent to a 60-Watt standard incandescent light bulb)Lumens per Watt: 88.88For use with light dimmers, compatible with most dimmer switches, it is dimmable as well as Omni-directional, indoor lighting applications$3000#25000#2.36#A-Line#Household#Brightness: 800 Lumens#Estimated yearly energy cost: $1.08 (based on 3 hours/day, 11¢/kWh. cost depends on rates and use)#Life: 22.8 years (based on 3 hours/day), long lifetime#Light appearance: 3000K (bright white)#Energy used: 9-Watt (equivalent to a 60-Watt standard incandescent light bulb)#Lumens per Watt: 88.88#For use with light dimmers, compatible with most dimmer switches, it is dimmable as well as Omni-directional, indoor lighting applications#80#Yes#Indoor#E26#Medium#Dimmable,Energy Saving#A19#Bright White#800#LED#EcoSmart#4#2.95#6.1#9.65#Household / General Purpose#60#9
0.5mm bit, counter sink ground	"Ryobi SpeedLoad Plus No. 8 Drill and Driver Kit$This handy two-in-one device lets you drill a 7/64 in. pilot hole before flipping it around to drive in a No. 8 screw with the same power tool. The Ryobi SpeedLoad Plus No. 8 Drill and Driver Kit prevents splintering of wood so your workpiece retains its pristine form while readily accepting countersunk screws for supreme fastening efficiency.Hexagonal shank offers strong grasp in drill chuckPredrilling prevents wood splinteringIncludes Allen key for secure retentionRequires a minimum chuck size of 1/4 in.Not intended for use with impact drivers$0.80 in#9.6 in#3.6 in#Hexagonal shank offers strong grasp in drill chuck#Predrilling prevents wood splintering#Includes Allen key for secure retention#Requires a minimum chuck size of 1/4 in.#Not intended for use with impact drivers#<a target=_blank"" style=""color:#f96302"" href=https://www.ryobitools.com/nation/>Join Ryobi Nation and have an opportunity to win prizes, share your Ryobi power tool experiences and receive exclusive offers for Nation members, Just click on the link to get started https://www.ryobitools.com/nation </a>""#Black#Screwdriving#Screwdriver#Phillips#Individual#Ryobi#Power Tool Accessory#Power Tool"	RYVYR Above-Counter Round Glass Vessel Sink in Transparent Blue Bits$Featuring a 16-1/2 in. Dia, this Xylem Above-Counter Round Glass Vessel Sink in Transparent Blue Bits includes a 1-51/64 in. drain hole opening to accommodate a 1-1/4 in. vessel-style drain without an overflow (drain sold separately). The sink is constructed of tempered glass for durability and includes a cutout template for easy installation.Tempered-glass construction for durabilityTransparent blue bits finish enables you to create a customized bathroom to suit your individual needs16-1/2 in. Dia size is compatible with Xylem vessel tops (sold separately)Cutout template included for easy installation1-51/64 in. drain hole opening accommodates a 1-1/4 in. vessel-style drain without an overflow (drain sold separately)Does not include an overflowVanity, countertop, faucet, drain, mounting ring, mirror, lighting and accessories not included$5.5#16.5#16.5#Tempered-glass construction for durability#Transparent blue bits finish enables you to create a customized bathroom to suit your individual needs#16-1/2 in. Dia size is compatible with Xylem vessel tops (sold separately)#Cutout template included for easy installation#1-51/64 in. drain hole opening accommodates a 1-1/4 in. vessel-style drain without an overflow (drain sold separately)#Does not include an overflow#Vanity, countertop, faucet, drain, mounting ring, mirror, lighting and accessories not included#Blue#Blue#No#15.875#15.875#Glass#RYVYR#20#Round
elan plate	Hampton Bay Elan 1 Toggle 1 Duplex Wall Plate - Brushed Nickel$For over 25 years, Hampton Bay has delivered home decor essentials that compliment any decor with enduring style. These wall plates do more than just cover electrical boxes. They are an easy and inexpensive way to add a decorative accent to any room in your home.California residents: see&nbsp;Proposition 65 information1 toggle 1 duplexMatching screws includedNickel finishAdditional configurations available$Combination Plate#1 toggle 1 duplex#Matching screws included#Nickel finish#Additional configurations available#No Certifications or Listings#Nickel#Nickel#Wall Plate#No Additional Features#Screws#Hampton Bay#2#0.2#5#4.5#Rectangle#Traditional/Classic#Metal	Hampton Bay Elan 1 Decora Wall Plate - Nickel$For over 25 years, Hampton Bay has delivered home decor essentials that compliment any decor with enduring style. These wall plates do more than just cover electrical boxes. They are an easy and inexpensive way to add a decorative accent to any room in your home.California residents: see&nbsp;Proposition 65 information1 rocker/GFCIMatching screws includedNickel finishAdditional configurations available$Outlet/Switch Plate#1 rocker/GFCI#Matching screws included#Nickel finish#Additional configurations available#No Certifications or Listings#Nickel#Nickel#Wall Plate#Screws#Hampton Bay#1#0.24#4.76#2.99#Rectangle#Decorator/Rocker#Traditional/Classic#Metal
continental soft touch shut-off	DecoArt Americana Decor 8-oz. Soft Touch Varnish$Achieving a vintage, time-worn look is simple if you start with the right paint. With Americana DecorChalky Finish paint, creating beautiful home decor and furniture pieces does not require skills or hours of training. Make store-bought pieces or flea market finds look like they came from a European estate sale or a French countryside cottage by using Americana Decor Chalky Finish paint.Low odor, water-based formulaNon-yellowing matte finish that will preserve the matte look of americana decor chalky finish paintsScratch, scuff and fingerprint resistantResistant to household cleaning chemicalsSuperior indoor and outdoor durability$Low odor, water-based formula#Non-yellowing matte finish that will preserve the matte look of americana decor chalky finish paints#Scratch, scuff and fingerprint resistant#Resistant to household cleaning chemicals#Superior indoor and outdoor durability#Paint#Soft Touch Varnish#8 OZ-Ounce#DecoArt#Washable,Waterproof#Specialty Finish/Small Project#Satin	Legrand adorne 1-Gang 2 Module Wall Plate - Soft Touch Felt Green$Your re-model looks like a million bucks. It deserves better than an ordinary light switch. Add that last finishing touch with adorne, a stunning, one-of-a-kind collection of switches, dimmers, and wall plates that will transform your walls from boring to absolutely breathtaking. It's time for a beautiful switch.Felt green is understated and elegant, ideal for any decoradorne soft touch plates have a sensual, luxurious texture, making your switch even more uniqueAvailable in single, double, triple, and quad sizes to support up to four functionsAlso available in 1-Gang, 3-module sizes to support multiple functions in one electrical box such as an outlet combined with a nightlightPlate easily snaps onto included mounting frame and installs in minutes with no visible screws, adorne products fit into your existing electrical box, so no new wires are neededPair with a classic white or versatile magnesium switch or dimmer for a unique lookComplete your total designer look with options like a stunning adorne accent nightlight accessory$Outlet/Switch Plate#Felt green is understated and elegant, ideal for any decor#adorne soft touch plates have a sensual, luxurious texture, making your switch even more unique#Available in single, double, triple, and quad sizes to support up to four functions#Also available in 1-Gang, 3-module sizes to support multiple functions in one electrical box such as an outlet combined with a nightlight#Plate easily snaps onto included mounting frame and installs in minutes with no visible screws, adorne products fit into your existing electrical box, so no new wires are needed#Pair with a classic white or versatile magnesium switch or dimmer for a unique look#Complete your total designer look with options like a stunning adorne accent nightlight accessory#1-UL Listed,CSA Certified,ETL Listed#Green#Felt Green#Wall Plate#Screws#Legrand adorne#1#.97#5.13#3.45#Square#Decorator/Rocker#Vintage/Art Deco#Plastic
melomine accessories	Eurostyle 24x30x0.75 in. Finishing End Panel in Dark Brown Melamine$Use the Eurostyle 24x30 in. Finishing Panel to add final touches to your kitchen. Easy to install as needed, this panel comes in dark brown melamine to be matched with the Eurostyle Bern door. This panel may be cut as needed and finished with the Eurostyle EDGE in matching color.High quality melamine laminate finishMade of 3/4 in. melamineDark brown finish matches the Eurostyle Bern doorMeasures 24 x 30 in.$High quality melamine laminate finish#Made of 3/4 in. melamine#Dark brown finish matches the Eurostyle Bern door#Measures 24 x 30 in.#CARB Compliant#Dark Brown Wood#Dark Brown Wood#Particle Board#Dark Brown Wood#Eurostyle#0.75#30#14#24	Fabritec 24x80x0.75 in. Finishing Panel in Steel Melamine$Use the Fabritec 24x80 in. Finishing Panel to add final touches to your kitchen. Easy to install as needed, this panel comes in Steel melamine to be matched with the Fabritec Leeds door. This panel may be cut as needed and finished with the Fabritec EDGE in matching color.High quality laminate finishMade of 3/4 in. melamineSteel wood-grain finish matches the Fabritec Leeds doorMeasures 24x80 in.$
oil cans	Homelite Replacement Chainsaw Gas and Oil Caps for Ryobi and Homelite Gas Chainsaws (2-Pack)$The Homelite Replacement Chain Saw Gas and Oil Caps (2-Pack) can help put your chain saw back in action. The replacement oil cap and gas cap are designed to fit Homelite 33, 45 and 46 cc Pro chain saws.California residents: see&nbsp;Proposition 65 informationFits ryobi and homelite chain sawsUse with 33, 45, 46 and 46cc Pro chain sawsIncludes 1 replacement gas capIncludes 1 replacement oil cap$Fits ryobi and homelite chain saws#Use with 33, 45, 46 and 46cc Pro chain saws#Includes 1 replacement gas cap#Includes 1 replacement oil cap#Spout#Homelite#1.125#0.5#1.125	Feiss Dockyard 1-Light Outdoor Oil Can Post$The Feiss Lighting Dockyard 1-light outdoor post top in oil can enhances the beauty of your property, makes your home safer and more secure, and increases the number of pleasurable hours you spend outdoors. This Dockyard outdoor post combines function and style. This fixture is a great choice for a do-it-yourself project.Featured in the decorative Dockyard collectionUses (1) A19 medium 100 watt light bulbHighlighted with white opal etched glassSafety listed for use in wet locations$
